Studio,Status,Exclusivity,Game Identifier,Game Name,EN,CN,TH,VN,ID,KR,MY,PTBR,ESLA,RU,TR,BN,HI,RTP,Volatility,Highest Payout,Bonus,Hit Rate,Reels,Display,Game Type,Win Tiers,Line/Ways,Buy Feature,Free Spin,Respin,Retrigger,Lucky Draw,Bonus,Hold & Spin,Multiplier Symbol,Increasing Multiplier,Featured Wild,Progressive Jackpot,Fixed Jackpot,Double Chance feature,Gamification,Design Theme & Features,Market Filter,Additional Market Filter,Country Filter,Game Description,GAME DEMO,Brochure EN,Brochure CN,Game Banners,PSD File,Game Design Document,"Localisation
(Translation Progress)",UKGC Certification,GLI 19 Certification,PAGCOR Certification,"
Global Labs
Certification (Peru)"
KM,Launched,,hunk-cai-shen,Hunk Cai Shen,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,97.00%,High,15000x,-,22.60%,5x3,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",5 Paylines,✓,✓,,,,,,✓,,✓,,,,,"Gold, red, brown, gold ingots, treasure chests, lucky cat, frog statue, jewelry box, scrolls, Chinese god, prosperity, Chinese New Year theme, wealth and fortune",East Asia,South East Asia,"China
Malaysia","Spin your way to prosperity in Hunk Cai Shen, a fortune-filled adventure on 3x5 reels! Unlock rewarding features with powerful Fortune Wild multipliers and free spins packed with only high payout symbols. With a chance to win up to 15,000x your bet, this is one game you won’t want to miss!

转动金轮迎财神，福运加成赚翻天！在《鸿运财神》3x5卷轴游戏中转动幸运轮盘，触发强力Fortune Wild倍率符号（3-5倍），解锁仅含高倍符号的专属免费旋转，更有机会赢得高达15,000倍注金的超级大奖，绝对不容错过的财运盛宴！",https://demo8.kingmidasdev.net/games/hunk-cai-shen?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/hunk-caishen_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/hunk-caishen_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/hunk-caishen_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/hunk-caishen_psd.zip,Hunk Cai Shen Slots -MY,hunk-cai-shen,PENDING,PENDING,PENDING,PENDING
KM,Launched,,dear-senpai,Dear Senpai,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,96.99%,MEDIUM,"13,200X",20X,35%,3x3,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",5 Paylines,✓,✓,,,,✓,,,,✓,,,,,"Japanese High School Love, Pink, Blue, Modern",South East Asia,East Asia,"Malaysia
Japan","""If I win this spin, will you notice me, Senpai?"" Come join this love-struck 3x3 reel slots where every spin is a chance at love! Land 3 Wilds and the middle reel turns Wild with a 2x multiplier. Hit 3 Scatters to trigger up to 12 Free Spins or instant rewards up to 20x! Come spin for love, blushes, and up to 13,200x payout!
甜蜜暴击3x3日式校园老虎机《亲爱的学长》！5条心动连线助你攻略学长！3个Wild同时出现时，整排中间轴将自动变为百搭，并触发2倍甜蜜暴击！收集3个Scatter触发专属约会，可得最高12次免费旋转或20倍心动奖励！在这场青春悸动中，最高13,200倍的毕业大礼正在等着你开启！",https://demo8.kingmidasdev.net/games/dear-senpai?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/dear-senpai_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/dear-senpai_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/dear-senpai_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/dear-senpai_psd.zip,Dear Senpai,dear-senpai,PENDING,PENDING,PENDING,PENDING
KM,Launched,,mahjong-beauty,Mahjong Beauty,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,96.99%,MEDIUM,10000X,-,32.05%,5x4,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",2000 Win Ways,✓,✓,,✓,,,,,✓,✓,,,,,Red/Green/Beauty/Mahjong/Chinese/Dragon/Free Spins/ Cascading,East Asia,South East Asia,"China
Malaysia","Mahjong Beauty Ways invites you to a stunning 4x5 slot journey that blends the elegance of mahjong with endless fortunes. With up to 2,000 ways to win, every spin can trigger cascading wins that lift  your multiplier all the way up to 10x in Free Spins. Land 3 or more Scatters to unlock Free Spins, where golden tiles turn into Wilds to bring even bigger prizes. With a max payout of 5,000x your bet, Mahjong Beauty Ways turns each spin into a beautiful path toward riches!

侵入《美女麻将》的华丽世界，每一次旋转都让您感受经传统麻将美学与现代财富之道的完美碰撞！转动4x5的绚丽转轴，解锁多达2,000种赢法，每次消除连锁都让您倍率飙升，免费旋转阶段直冲10倍暴击！收集3个或更多Scatter触发免费旋转，黄金麻将牌化作万能百搭，助您横扫大奖！最高可赢取单注5,000倍的终极财富！",https://demo8.kingmidasdev.net/games/mahjong-beauty?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/mahjong-beauty_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/mahjong-beauty_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/mahjong-beauty_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/mahjong-beauty_psd.zip,Mahjong Beauty Slots,mahjong-beauty-way,PENDING,PENDING,PENDING,PENDING
KM,Pre-Production,,flame-of-fortune,Flame of Fortune,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,96.99%,MEDIUM,15000X,,30.00%,5x4,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",1024 Win Ways,✓,✓,,✓,,,✓,,✓,✓,,,,,,,,,,,,,,,,,PENDING,PENDING,PENDING,PENDING
KM,Pre-Production,,queen-femida,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,PENDING,PENDING,PENDING
KM,Pre-Production,,japan-game,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,Portrait,Video Slots,"Normal (>x3)
Big Win (>=x8)
Mega Win (>=x25)
Ultra Win (>=x40)
Super Ultra Win (>=x100)",,,,,,,,,,,,,,,,,,,,,,,,,,,,PENDING,PENDING,PENDING,PENDING
KM,Pre-Production,,wonder-ace,Wonder Ace,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,96.99%,MEDIUM,10000X,,32.00%,5x4,Portrait,Video Slots,,1024 Win Ways,✓,✓,,,,,,,✓,✓,,,,,,,,,,,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-fortune-dragon,Fortune Dragon,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,LOW,2595X,-,26.90%,5x4,"Portrait, Landscape",Video Slots,,50 Paylines,,✓,,✓,,,,,,,,,✓,,50 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-fortune-dragon,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-gate-to-gold,Gate To Gold,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,95.90%,MEDIUM - HIGH,1726X,-,28%,5x3,"Portrait, Landscape",Video Slots,,5 Paylines,,✓,,✓,,,,✓,,✓,,,✓,,5 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-gate-to-gold,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-big-rich-fortune,Big Rich Fortune,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,MEDIUM,1985X,-,32.20%,5x3,"Portrait, Landscape",Video Slots,,25 Paylines,,✓,,✓,,✓,,,,✓,,,✓,,25 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-big-rich-fortune,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-dragons-legend,Dragon's Legend,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,MEDIUM,2310X,-,"32,7%",5x3,"Portrait, Landscape",Video Slots,,243 Win Ways,,✓,,✓,,✓,,✓,,✓,,,✓,,243 win ways,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-dragons-legend,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-fafa-babies,FaFa Babies,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,MEDIUM - HIGH,1403X,-,30.60%,5x3,"Portrait, Landscape",Video Slots,,20 Paylines,,✓,,✓,,,,,,,,,✓,,20 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-fafa-babies,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-happy-panda,Happy Panda,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.10%,MEDIUM - HIGH,4053X,-,35.30%,5x3,"Portrait, Landscape",Video Slots,,20 Paylines,,✓,,,,,,,,✓,,,✓,,20 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-happy-panda,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-kings-piggy-bank,King's Piggy Bank,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.10%,MEDIUM,679X,-,22%,5x3,"Portrait, Landscape",Video Slots,,15 Paylines,,✓,,,,,,,,✓,,,✓,,15 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-kings-piggy-bank,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-lucky-koi,Lucky Koi,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,MEDIUM - HIGH,4978X,-,26.40%,5x3,"Portrait, Landscape",Video Slots,,10 Paylines,,✓,,✓,,,,✓,,✓,,,✓,,10 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-lucky-koi,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-rising-phoenix,Rising Phoenix,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.10%,LOW,3171X,-,36.80%,5x3,"Portrait, Landscape",Video Slots,,15 Paylines,,✓,,✓,,,,,,,,,✓,,15 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-rising-phoenix,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-winning-scroll,Winning Scroll,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,MEDIUM - HIGH,7460X,-,29.60%,5x3,"Portrait, Landscape",Video Slots,,10 Paylines,,✓,,✓,,,,,,,,,✓,,10 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-winning-scroll,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-double-happiness,Double Happiness,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,MEDIUM - HIGH,4050X,-,31.20%,5x3,"Portrait, Landscape",Video Slots,,30 Paylines,,✓,,✓,,,,,,,,,✓,,30 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-double-happiness,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-beautiful-peony,Beautiful Peony,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.10%,LOW,1404X,-,52%,5x4,"Portrait, Landscape",Video Slots,,50 Paylines,,✓,,✓,,,,,,✓,,,✓,,50 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-beautiful-peony,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-eighty-eight-treasures,88 Treasures,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,MEDIUM,2071X,-,30.10%,5x3,"Portrait, Landscape",Video Slots,,243 Win Ways,,✓,,✓,✓,✓,,,,✓,,,✓,,243 win ways,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-eighty-eight-treasures,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-monkey-king-opera,Monkey King Opera,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,MEDIUM,1327X,-,30.70%,5x3,"Portrait, Landscape",Video Slots,,30 Paylines,,✓,,✓,,,,,,,,,✓,,30 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-monkey-king-opera,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-kings-jackpots,King's Jackpots,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.20%,HIGH,4651X,-,26.20%,5x3,"Portrait, Landscape",Video Slots,,25 Paylines,,✓,,✓,,,,,,✓,,✓,✓,,25 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-kings-jackpots,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-jin-chan,Jin Chan,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.30%,MEDIUM,9619X,-,35.10%,5x3,"Portrait, Landscape",Video Slots,,30 Paylines,,✓,,✓,,,,✓,,✓,,,✓,,30 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-jin-chan,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-prosperity-rat,Prosperity Rat,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.30%,MEDIUM - HIGH,1036X,-,9.40%,5x3,"Portrait, Landscape",Video Slots,,10 Paylines,,✓,,✓,,,,,,✓,,,✓,,10 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-prosperity-rat,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-the-legend-of-the-banyan-tree,The Legend Of Banyan Tree,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,97.10%,LOW,2595X,-,26.90%,5x4,"Portrait, Landscape",Video Slots,,50 Paylines,,✓,,✓,,,,,,,,,✓,,50 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-the-legend-of-the-banyan-tree,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-songkran-lucky-splash,Songkran Lucky Splash,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.10%,MEDIUM - HIGH,4053X,-,35.30%,5x3,"Portrait, Landscape",Video Slots,,20 Paylines,,✓,,,,,,,,✓,,,✓,,20 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-songkran-lucky-splash,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-royal-treasures,Royal Treasures,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,MEDIUM,1726X,-,28%,5x3,"Portrait, Landscape",Video Slots,,25 Paylines,,✓,,✓,,,,,,✓,,,✓,,25 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-royal-treasures,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-white-elephant,White Elephant,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.30%,HIGH,4307X,-,24.20%,5x3,"Portrait, Landscape",Video Slots,,50 Paylines,✓,✓,,✓,,,✓,,,,,✓,✓,,50 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-white-elephant?test=1,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-break-the-bank,Break The Bank,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,95.90%,MEDIUM,1455X,-,29.00%,5x3,"Portrait, Landscape",Video Slots,,25 Paylines,✓,✓,,✓,,,✓,,,,,✓,✓,,25 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-break-the-bank?test=1,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-diamond-king,Diamond King,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.30%,HIGH,4526X,-,22.30%,5x3,"Portrait, Landscape",Video Slots,,50 Paylines,✓,✓,,✓,,,✓,,,,,✓,✓,,50 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-diamond-king?test=1,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-wild-miner,Wild Miner,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.10%,LOW,32440X,-,28.65%,5x4,"Portrait, Landscape",Video Slots,,30 Paylines,✓,✓,,✓,,,,,,✓,,,✓,,30 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-wild-miner?test=1,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-the-big-the-fat-and-the-ugly,The Big The Fat And The Ugly,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.20%,HIGH,4145X,-,23.70%,5x3,"Portrait, Landscape",Video Slots,,20 Paylines,✓,✓,,,,,,,,✓,,✓,✓,,20 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-the-big-the-fat-and-the-ugly?test=1,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-eyes-of-ra,Eyes Of Ra,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,HIGH,3510X,-,25.60%,5x3,"Portrait, Landscape",Video Slots,,25 Paylines,✓,✓,,✓,,,,,,,,,✓,,25 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-eyes-of-ra?test=1,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-lady-of-ra,Lady Of Ra,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.11%,MEDIUM,17045X,-,29.70%,5x3,"Portrait, Landscape",Video Slots,,243 Win Ways,✓,✓,,✓,✓,,✓,,,✓,,✓,✓,,243 win ways,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-lady-of-ra?test=1,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-redbeard-treasures,Redbeard Treasures,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.10%,High,2231x,-,18.70%,5x3,"Portrait, Landscape",Video Slots,,25 Paylines,✓,✓,,✓,,,✓,,,,,✓,✓,,25 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-redbeard-treasures?test=1,,,,,,,PENDING,PENDING,PENDING,PENDING
OG,Pre-Production,,km-magic-pearls,Magic Pearls,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.11%,LOW,455X,-,30.06%,5x4,"Portrait, Landscape",Video Slots,,50 Paylines,✓,✓,,✓,,,,,,✓,,,✓,,50 paylines,,,,,https://staging-gp-og-game.og1-net.com/gamelauncher/gamesapi/tgp/kingmidas/gameUrl/km-magic-pearls?test=1,,,,,,,PENDING,PENDING,PENDING,PENDING
WTF,Launched,"All, UFA",gold-mines,GOLD MINE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,96.00%,MEDIUM,10000X,-,18.96%,5x3,"Portrait, Landscape",Video Slots,,243 Win Ways,,✓,,,,,,,✓,,,,,,"Brown, gold, mine carts, coins, gems, chests, miners, pickaxes, treasure, mines, treasure hunt

",North America,Europe,"United States of America
United Kingdom","Gold Mine is a 5x3 slot game with 243 win-ways. Played with 9 standard symbols, complemented by 1 Scatter and 1 Wild symbol which substitutes for all others symbol. Every win, you can experience the exhilarating Cascade feature, offering multipliers of up to 1024x. Trigger up to 20 rounds of Free Spins by landing 3 or more Scatter symbols. Aim high as the maximum win reaches an impressive 10,000x of the total bet!",https://cdn.kingmidasdev.net/syn33/demo8/lobbys/kmgamelauncher/#/gamelauncher/8/gold-mines?currency=HKD&lang=en&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/gold-mine_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/gold-mine_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/gold-mine_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/gold-mine_psd.zip,,,PENDING,CERTIFIED,CERTIFIED,IN PROGRESS
WTF,Launched,,almighty-greek,ALMIGHTY GREEK,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,96.07%,HIGH,433.5X,-,23.49%,5x3,"Portrait, Landscape",Video Slots,,10 Paylines,,,✓,,,,,,,,,,,,"Alchemy, Ancient civilizations, Black, Blue, Brown, Gods, Greece, Mythical, legend, Sky blue, Weapons",North America,Europe,"United States of America
United Kingdom","Almighty Greek is a 5x3 slot game with 10 paylines. The game showcases a base game with 7 regular symbols, alongside a Wild symbol for engaging Wild re-spin mechanics. During the wild re-spin feature, the Wild symbol appears exclusively on reels 2, 3, and 4, expanding across the reel to initiate subsequent re-spins.",https://cdn.kingmidasdev.net/syn33/demo8/lobbys/kmgamelauncher/#/gamelauncher/8/almighty-greek?currency=HKD&lang=en&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/almighty-greek_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/almighty-greek_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/almighty-greek_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/almighty-greek_psd.zip,,,PENDING,CERTIFIED,PENDING,IN PROGRESS
WTF,Launched,"All, UFA",warriors-temple,WARRIORS TEMPLE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,96.18%,HIGH,5000X,-,38.60%,6x5,"Portrait, Landscape",Video Slots,,Sum Game,✓,✓,,✓,,,,,,,,,✓,,"Blue, gold, gems, masks, totems, warrior, temple, ancient symbols, jungle, treasure hunt, Aztec mythology.
",North America,,United States of America,"Warriors Temple is a thrilling 6x5 reel slot game featuring the Cascade Feature to amplify your wins! Trigger Scatter payouts and unlock 10 Free Games by matching 4 or more Scatter symbols. With 9 regular symbols and 1 Scatter symbol, the game offers a variety of winning combinations. Explore the Buy Free Game Feature, and Double Chance Feature for even more excitement. During Free Games, watch out for the Special Multiplier symbol, which can land anywhere on the screen to multiply your winnings!",https://cdn.kingmidasdev.net/syn33/demo8/lobbys/kmgamelauncher/#/gamelauncher/8/warriors-temple?currency=HKD&lang=en&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/warriors-temple_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/warriors-temple_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/warriors-temple_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/warriors-temple_psd.zip,,,PENDING,CERTIFIED,CERTIFIED,IN PROGRESS
